countries,region,year,year,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance,pf_identity_fgm,pf_identity,ef_government_consumption,ef_government_consumption_data,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_gender,ef_legal,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_burden,ef_regulation_business_start,ef_regulation_business_impartial,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation
Ethiopia,Sub-Saharan Africa,2017,2017,4.920593406742539,3.181528498774803,7.80185686160729,7.56161239607092,5.0,10.0,0.0,2.5,8.944185149324118,67.0,9.551882983665385,53.0,1.655,2.95,5.800152590427072,6.801004726017181,4.8875,8.955,7.14,6.994166666666668,6.666666666666667,6.830416666666667,7.112500000000001,6.666666666666667,6.889583333333334,5.04,5.964791666666667,1.3125,0.0,1.1111111111111112,0.0,0.3703703703703704,6.0725,7.664999999999999,5.5275,6.421666666666667,3.4250000000000003,2.8823842592592595,10.0,0,0.0,55,5.0,3.8125,2.4275,1.465,3.53,3.07,2.861,0.0,1.1111111111111112,0.0,1.7944222222222224,0.0,0.0,0.0,7.5,7.5,3.5,4.625,7.552941176470588,14.32,8.525885558583106,5.91,3.9326142721705537,36.23585004740306,7.0,3.0,5.0,4.21,5.84428820144485,4.252940975444445,4.548615978111111,4.832006953333334,1.6666666666666667,5.6228,5.546758592318622,7.044972226673224,5.022476514999999,0.8823529411764706,4.533792695005577,8.024989668016843,9.87505165991578,8.903426641684439,2.741433395788903,8.030349951582515,9.84825024208742,0.0,6.23969156532095,5.873333333333333,6.19,6.5200000000000005,17.4,5.3368,11.658,5.910044444444445,4.700134595,3.284635127481396,3.992384861240698,10.0,1.6572581231594086,0.0,0.2212512826303522,0.6261698019299203,5.132149776903765,2.0,9.219858155297146,10.0,7.073286051765716,6.666666666666667,4.474467436666667,5.537966091666666,10.0,10.0,7.286482154221782,4.631334146666666,2.4444444444444446,8.421885635170591,3.834000000000001,8.707871123150543,3.97,5.334922558238708,6.564896921408735
Kazakhstan,Caucasus & Central Asia,2012,2012,5.544268212353955,4.519606111146564,7.82507320669586,7.48174816896624,10.0,10.0,0.0,7.5,9.800299325400012,2.0,9.839278715952444,3.0,4.0775,7.0525,8.324225434478922,8.07464932058739,7.86,9.5625,9.4875,8.97,6.666666666666667,7.818333333333333,4.375,3.333333333333333,3.854166666666667,4.555,4.204583333333334,3.7,2.5,3.333333333333333,3.333333333333333,3.055555555555556,4.4875,5.785,4.225,4.8325000000000005,4.815,4.100763888888888,8.15416522177316,1,5.504913556863218,3,6.829539389318189,4.105,3.7775,2.6025,5.413333333333333,3.963333333333334,3.9723333333333337,0.1388888888888891,3.333333333333333,3.333333333333333,3.521485655641416,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.852941176470587,20.1,9.026556745315412,4.072536744692433,8.69213723234858,19.57751968677997,10.0,8.0,9.0,6.1450000000000005,7.743327030826917,3.7348179535502655,4.087749484211642,4.878027303571425,8.333333333333334,5.010366666666666,5.544705172269756,9.532446413938322,4.8790743333333335,0.8823529411764706,5.411825960102911,9.057877463202203,4.71061268398898,6.756138224184292,8.109654439539272,8.978,5.11,10.0,8.698003921846624,7.746666666666667,3.38,8.100000000000001,9.5,5.516,11.21,7.1208888888888895,5.8510633412698345,0.6913638563869252,3.27121359882838,10.0,1.6572581231594086,2.307692307692308,0.0,1.3216501436172388,5.428438157833626,8.0,10.0,10.0,9.333333333333334,10.0,5.999814503968249,7.612127218253967,10.0,3.0,7.643944517805597,4.439093555555551,6.000000000000001,9.609498937870889,3.75,8.200711924535671,7.892646624051674,6.648658507002298,7.87531211938041
Moldova,Eastern Europe,2015,2015,6.650593823689289,4.45142289764912,8.662790697674419,4.6,10.0,10.0,0.0,5.0,10.0,0.0,10.0,0.0,7.355,8.325,8.668571428571429,8.665681063122925,9.1825,9.5725,9.5925,9.449166666666668,6.666666666666667,8.057916666666667,7.965,6.666666666666667,7.315833333333334,7.737500000000001,7.526666666666667,5.815,7.5,7.777777777777779,6.666666666666667,7.314814814814816,8.91,9.67,7.672499999999999,8.750833333333333,8.185,7.516412037037037,10.0,0,10.0,0,10.0,7.102500000000001,5.645,6.7375,9.28,5.693333333333333,6.891666666666666,5.0,6.666666666666667,6.666666666666667,7.045,10.0,10.0,10.0,10.0,5.0,10.0,8.75,7.579411764705882,14.23,6.524017531905573,13.256855657906549,9.893432193602935,15.37298732238972,10.0,4.0,7.0,6.805,7.5603722980428785,4.817727726641988,3.719510440799712,4.266835433759876,6.666666666666667,5.866033333333333,4.318054343968312,9.600214080234313,3.6799999078114825,0.8823529411764706,5.051181403907728,8.719875821529378,6.400620892353115,9.2046709947229,1.988322513192752,8.06427810663234,9.6786094668383,5.0,7.747206230721154,9.38,0.93,8.92,5.4,7.796799999999999,5.508000000000001,8.698933333333335,5.352084571239995,8.79468248445055,7.073383527845273,10.0,1.6572581231594086,0.7692307692307693,6.526912837595366,2.9844672433285147,7.189196026126781,10.0,8.25,10.0,9.416666666666666,5.566666666666666,3.876901911754234,7.333178912892061,6.0,3.0,5.427487100620293,3.0079558480019664,6.000000000000001,9.742773121088176,6.49,6.41605787208182,7.971111909326346,6.604649791749718,7.149601186345559
Slovak Republic,Eastern Europe,2015,2015,7.591289324328088,6.546123297045872,9.764847400456846,0.8089249424284443,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,8.299999999999999,9.635,9.347857142857142,9.556352271656994,9.8325,9.815,9.805,9.8175,10.0,9.90875,9.3975,6.666666666666667,8.032083333333333,9.7675,8.899791666666665,6.785,10.0,10.0,6.666666666666667,8.88888888888889,9.705,9.765,9.76,9.743333333333332,9.15,8.641805555555555,10.0,0,10.0,0,10.0,9.015,6.444999999999999,8.9975,9.873333333333337,8.666666666666668,8.5995,7.662473794549265,8.88888888888889,10.0,9.03017253668763,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.226470588235294,25.63,4.809322326580931,19.549787061447983,6.923775271742565,25.76678654890102,9.0,2.0,5.5,7.91,5.873913637311758,5.610618093487692,5.07050127360259,5.288428410505638,10.0,6.173033333333333,3.328617389665489,9.6881625813696,4.308176040649414,1.0,6.18344214032672,9.339241540075449,3.3037922996227653,9.666182728644102,0.8345431783897428,9.93495604451438,-0.325219777428104,10.0,9.735095078308484,9.1,1.35,8.98,5.1,7.0012,7.496999999999999,8.3604,5.74421100957053,9.963313764923091,7.853762387246812,10.0,7.492838501930237,5.384615384615384,7.743794892062298,6.873749592869306,8.27197799502903,10.0,8.768,9.0,9.256,6.666666666666667,3.236727563889472,6.599733900674534,8.0,10.0,7.043050714177465,2.2125691891589883,7.333333333333333,9.560847253689266,6.4725,6.254002379916139,7.847809318180435,6.613510245713028,7.637520319963497
Jamaica,Latin America & the Caribbean,2018,2018,6.88521816806439,5.354082866101256,0.0,43.9,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,8.17,7.7875,9.065357142857142,4.532678571428571,9.5775,9.8375,9.885,9.766666666666666,10.0,9.883333333333333,9.6675,10.0,9.83375,9.865,9.849375,9.375,7.5,10.0,10.0,9.166666666666666,9.7875,9.88,9.1825,9.616666666666664,9.505,9.415833333333332,10.0,0,10.0,0,10.0,9.4275,6.757499999999999,8.8525,9.913333333333334,8.863333333333333,8.762833333333333,10.0,10.0,10.0,9.752566666666668,0.0,10.0,5.0,7.5,10.0,10.0,8.125,7.350000000000001,15.01,8.377776974326444,6.453558504221954,10.0,12.38659256465563,8.0,5.0,6.5,8.2125,8.08805539486529,6.707278319555556,5.8672556199444434,5.737010638333334,8.3,5.02925,3.269386227303784,8.720523023242663,4.245750506666666,0.9411764705882352,5.808540415649017,8.242373423433364,8.788132882833178,9.484455377993122,1.2888615550171958,9.2519684,3.740158,10.0,9.244699300356622,7.426666666666667,3.86,8.299999999999999,8.5,5.5120000000000005,11.22,7.079555555555555,6.126786868333332,5.6959334359686,5.911360152150966,10.0,4.164419174194336,1.5384615384615383,10.0,5.234293570885291,7.056302319647953,10.0,9.666834922882986,9.0,9.555611640960995,8.9,4.715304771666667,6.968678633333334,10.0,10.0,7.855068042842078,3.716606696666666,6.000000000000001,9.85983164823358,6.805,8.625175587688043,6.995900506626855,7.000419073202523,8.137032919001866
