countries,region,year,year,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance,pf_identity_fgm,pf_identity,ef_government_consumption,ef_government_consumption_data,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_gender,ef_legal,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_burden,ef_regulation_business_start,ef_regulation_business_impartial,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation
Georgia,Caucasus & Central Asia,2008,2008,6.155822243805482,5.937139533386919,8.23860749275102,6.0591902249364935,10.0,0.0,621.0,0.0,5.207509738289247,11.0,0.0,47.0,3.295,8.139999999999999,3.8060728197556064,6.022340156253313,9.7575,9.145,9.12,9.340833333333334,6.666666666666667,8.00375,8.66,6.666666666666667,7.663333333333334,9.3325,8.497916666666667,8.125,7.5,8.88888888888889,6.666666666666667,7.685185185185186,9.235,9.7575,7.9,8.964166666666666,9.1575,8.482962962962963,0.0,3,10.0,0,5.0,7.085,5.305,6.2925,9.82,6.626666666666666,7.025833333333333,3.472222222222221,6.666666666666667,3.333333333333333,5.099611111111111,10.0,10.0,10.0,7.5,10.0,10.0,9.375,4.432352941176471,24.93,7.676262374367906,9.028117086069786,3.659543079378535,37.19159922217513,9.0,9.0,9.0,8.035,6.560631678984583,4.268072920965609,5.455403405333333,4.5214615828373015,10.0,7.088616666666667,7.374996359273581,9.943302287521746,6.44745610813492,0.8235294117647058,6.279700695782088,6.525792994161201,17.371035029193994,9.640082778857249,0.8997930528568784,8.004791984317212,9.976040078413943,10.0,8.542666939333916,9.793333333333331,0.31,9.72,1.4,7.12,7.2,8.877777777777778,7.413292528769842,8.514397641339999,7.96384508505492,10.0,7.492838501930237,8.461538461538462,8.296923098638176,8.083766687368959,8.731347387550414,10.0,4.631674050391781,9.0,7.877224683463926,10.0,7.38900189186508,7.836251976190477,8.0,3.0,7.642404817967201,6.394110776785715,6.784037558685446,9.865083881101992,7.47,9.282149528551807,5.661990656957437,7.576228733680399,7.698619411703842
Colombia,Latin America & the Caribbean,2014,2014,6.006274729664383,4.465114576266144,1.884026002292644,27.918950552113305,0.0,8.667785727477604,114.0,2.5,4.89505604941667,143.0,3.985670865526057,314.0,6.93,6.6175,4.799430377488619,3.341728189890631,9.6625,8.745000000000001,8.3375,8.915000000000001,6.666666666666667,7.790833333333333,9.285,10.0,9.6425,9.4975,9.57,9.0475,5.0,6.666666666666667,6.666666666666667,6.111111111111112,9.7475,9.9375,9.715,9.8,9.795,8.688402777777778,4.836189344722415,8,10.0,0,7.418094672361208,7.880000000000001,4.2425,8.29,9.633333333333333,7.413333333333334,7.491833333333334,5.0,5.555555555555555,6.666666666666667,6.426430045583352,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.541176470588235,17.76,7.209945348423662,10.73950057128516,4.959510552412671,32.64171306655565,7.0,2.0,4.5,7.875,6.217126474284913,5.355736557476626,4.864122529056627,4.067986760870616,3.333333333333333,4.317966666666667,3.4835000000000003,9.040189725548077,5.073686563019049,0.8823529411764706,4.651355545408353,8.553124236057883,7.234378819710585,9.155946374484309,2.1101340637892263,9.424437949772358,2.87781025113821,5.0,8.033377140078638,8.9,1.65,8.84,5.8,6.3344000000000005,9.164,8.0248,4.157871391184574,3.630795969138947,3.89433368016176,10.0,4.164419174194336,1.5384615384615383,9.624430794420284,5.109103835692053,6.757059378963453,10.0,9.283,10.0,9.761,8.9,4.503548958677686,6.932832983471075,10.0,1.0,6.026003203371244,2.703367332617443,8.0,9.569034656177378,6.2250000000000005,9.716063998188917,7.320970974193353,7.255739493529514,7.680914232300253
Slovenia,Eastern Europe,2013,2013,8.110492905763511,6.911395592871616,9.83116306016143,0.5807990730446794,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,8.4025,9.745,9.378214285714288,9.604688672937858,9.865,9.835,9.7275,9.809166666666668,10.0,9.904583333333337,8.5625,10.0,9.28125,9.81,9.545625,8.924999999999999,10.0,10.0,10.0,10.0,9.8175,9.8075,9.7625,9.795833333333333,9.735,9.613958333333333,10.0,0,10.0,0,10.0,8.8175,7.205,8.5025,9.933333333333334,8.496666666666666,8.591,7.038690476190477,8.88888888888889,10.0,8.903715873015873,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.014705882352941,26.35,4.619403102093594,20.24679061531652,8.010338492568284,21.963815276011008,4.0,0.0,2.0,6.8425,5.097389495402964,6.177941688201877,5.4970947353818005,5.298992400184436,9.166666666666666,7.1736,5.114166047712164,7.273111019975817,6.554470655163888,0.9411764705882352,6.33988759572963,9.426367816145088,2.868160919274576,9.56446830204968,1.0888292448758026,9.647929752151862,1.7603512392406913,10.0,9.659691467586656,9.64,0.54,8.9,5.5,6.215999999999999,9.46,8.252,5.940177611088289,7.948895579662349,6.944536595375318,10.0,6.994041204452515,3.076923076923077,6.419412666158657,5.49679231584475,7.673332227805018,5.0,4.000763099881296,10.0,6.333587699960432,2.233333333333333,2.395678108764453,4.905048904641958,8.0,10.0,5.943895634711361,2.5525261655103244,8.666666666666668,9.663319031285676,8.59,7.450919689026062,7.085575118369337,7.33483444514301,6.537439259938267
Slovenia,Eastern Europe,2020,2020,7.49752177979996,6.221946762687658,9.84593023255814,0.53,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,9.1975,9.7275,9.489285714285714,9.667607973421926,8.675,8.73,8.532499999999999,8.645833333333334,6.666666666666667,7.65625,9.2575,10.0,9.62875,9.775,9.701875,7.015000000000001,10.0,10.0,10.0,10.0,9.8075,9.805,8.8575,9.49,7.53,8.508750000000001,10.0,0,10.0,0,10.0,7.75,5.1875,4.15,9.933333333333334,8.446666666666665,7.093500000000001,7.5,7.777777777777779,6.666666666666667,7.807588888888889,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.223529411764706,29.04,3.5149863760218,24.3,8.017142857142856,21.94,4.0,0.0,2.0,6.93,4.737131728985872,5.909808609,5.974063146666666,6.068011919999999,9.166666666666666,7.03275,4.228332095424329,8.322423784591361,7.426979541666667,0.9411764705882352,6.567125662546021,8.091429763609028,9.54285118195486,9.751820321177004,0.6204491970574895,9.989,-0.055,10.0,9.458062521196508,8.6,2.1,8.98,5.1,6.511600000000001,8.720999999999998,8.030533333333333,6.783146063333333,9.981656882461548,8.38240147289744,10.0,7.00158953666687,3.076923076923077,0.0,3.359504204529982,7.443109752690189,5.0,6.97786959342423,10.0,7.32595653114141,2.233333333333333,2.7433931833333336,6.069653828333333,8.0,10.0,6.195948967754737,2.654631535,7.777777777777778,9.631415251364688,7.0025,6.877391184227302,7.388226933000213,6.888657113561663,6.80352087081927
Slovenia,Eastern Europe,2010,2010,8.211394288773183,6.681740582116196,9.786791837331746,0.7334360795787925,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,9.02,9.745,9.46642857142857,9.626610204380158,9.865,9.835,9.7275,9.809166666666668,10.0,9.904583333333337,9.34,10.0,9.67,9.81,9.74,8.55,10.0,10.0,10.0,10.0,9.8175,9.8075,9.4975,9.7075,9.83,9.521875,10.0,0,10.0,0,10.0,9.3525,8.1625,9.0675,9.933333333333334,8.953333333333333,9.093833333333333,6.8849206349206336,8.88888888888889,10.0,8.97352857142857,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.8058823529411767,27.06,3.847138964577657,23.081,7.637902104011377,23.26734263596018,4.0,1.0,2.5,6.8425,4.926684684306042,6.557172734444445,5.806257182222222,5.678786666666666,9.166666666666666,7.2025500000000005,5.114166047712164,7.26366140122944,5.644553333333334,0.9411764705882352,6.361455378915709,9.407645734884076,2.9617713255796208,9.157053318935333,2.1073667026616705,9.631806930693172,1.84096534653413,10.0,9.549126496128146,9.632409333333332,0.551386,8.98,5.1,6.409600000000001,8.975999999999999,8.340669777777778,6.693416666666666,7.886451577580999,7.289934122123832,10.0,8.196424841880798,3.8461538461538463,6.416287196280189,6.152955294771611,7.945889798668306,5.0,7.59497846407835,10.0,7.531659488026118,2.233333333333333,2.2126716666666666,4.738133333333334,6.0,10.0,5.552241965810292,3.32521,8.333333333333334,9.664958280462216,8.209999999999999,7.556057580443045,7.085575118369337,7.362522385434655,6.8154746130903545
