countries,region,year,year,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance,pf_identity_fgm,pf_identity,ef_government_consumption,ef_government_consumption_data,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_gender,ef_legal,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_burden,ef_regulation_business_start,ef_regulation_business_impartial,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation
"Korea, Rep.",East Asia,2009,2009,7.898662775475419,7.486770949842381,9.750469880642374,0.8583836105902345,10.0,10.0,0.0,7.5,10.0,0.0,10.0,0.0,8.9,9.345,9.392142857142858,9.571306368892616,8.844999999999999,9.805,9.9025,9.5175,6.666666666666667,8.092083333333333,9.8475,10.0,9.92375,9.645,9.784375,7.4525,10.0,7.777777777777779,6.666666666666667,8.148148148148149,9.6475,9.695,9.7175,9.686666666666667,7.0,8.071828703703705,10.0,0,10.0,0,10.0,7.78,6.13,7.19,7.913333333333333,6.963333333333334,7.195333333333333,8.265432098765434,7.777777777777779,6.666666666666667,7.981041975308642,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.067121903293436,22.77178552880232,8.222478433382268,7.023504149487078,8.358162232159591,20.74643218744143,6.0,6.0,6.0,7.592499999999999,7.048052513767059,6.273980131179172,6.408374540542435,6.181283963099631,6.666666666666667,7.591116666666667,6.6777083656679945,8.115681077431589,6.214438101476016,0.8823529411764706,6.368147001497666,8.91607521170831,5.419623941458451,9.327317928758225,1.6817051781044352,9.434822242479491,2.825888787602551,10.0,9.419553845736507,9.346666666666666,0.98,7.58,12.1,0.0,49.247,5.642222222222222,4.976779458179582,9.056747673693526,7.016763565936554,10.0,5.36680281162262,7.6923076923076925,10.0,7.686370167976771,7.586338989033887,8.0,10.0,10.0,9.333333333333334,5.566666666666666,3.655488442189421,7.459684008610087,8.0,0.0,4.44121638533311,3.0083619760147595,4.707903780068729,9.39735290720048,8.352500000000001,9.762554906538028,7.197668383047439,7.071056992144906,6.94853557027045
Moldova,Eastern Europe,2013,2013,6.637004492222448,4.050745895559758,8.79350831744229,4.150331387998519,10.0,10.0,0.0,5.0,10.0,0.0,10.0,0.0,7.3725,8.9625,8.762142857142857,8.777825587292574,8.79,9.5725,9.5925,9.318333333333332,6.666666666666667,7.9925,7.84,6.666666666666667,7.253333333333334,8.235,7.744166666666667,6.745,7.5,6.666666666666667,3.333333333333333,5.833333333333333,8.66,9.93,9.3325,9.3075,8.6275,7.628333333333332,10.0,0,1.453425113503402,1,5.726712556751701,7.175000000000001,5.9475,7.08,9.743333333333334,7.003333333333334,7.389833333333334,5.76388888888889,6.666666666666667,6.666666666666667,6.442753622461451,10.0,10.0,10.0,10.0,5.0,10.0,8.75,7.541176470588235,14.36,6.532818863577771,13.224554770669586,10.0,13.089367220778117,10.0,4.0,7.0,6.895,7.593799066833202,4.916961486407742,3.87890449706962,4.2859546121866,6.666666666666667,6.080922222222222,4.453710024124689,9.600214080234313,3.482567489321153,0.8823529411764706,5.101870715086236,7.933157027298376,10.334214863508118,8.597461436383778,3.5063464090405576,9.071641955725887,4.64179022137057,5.0,7.65056510485201,9.239999999999998,1.14,9.079999999999998,4.6,7.6816,5.795999999999999,8.6672,5.443305032552082,6.5502224830757925,5.9967637578139374,10.0,1.6572581231594086,0.0,4.648540206528684,2.1019327765626974,6.691474133594159,10.0,9.102950953817828,10.0,9.70098365127261,5.566666666666666,4.3550805933452645,7.534333545597236,6.0,3.0,5.540709319669659,3.1877454017200675,6.000000000000001,9.759580266267092,6.324999999999999,6.888986863030567,7.926274603455106,6.681264522412139,7.307652497784804
Morocco,Middle East & North Africa,2017,2017,5.84536776764491,4.168394268047277,9.377906976744184,2.14,10.0,10.0,0.0,5.0,10.0,0.0,10.0,0.0,6.19,8.375,8.509285714285713,8.94359634551495,8.7125,9.3575,5.555,7.875,3.333333333333333,5.604166666666667,4.67,3.333333333333333,4.001666666666667,3.78,3.8908333333333336,4.0225,2.5,3.333333333333333,6.666666666666667,4.166666666666667,8.44,9.4325,7.275,8.3825,4.5825,5.288541666666666,10.0,0,5.104574154235872,7,7.552287077117936,5.9175,4.4725,3.855,9.31,5.213333333333333,5.753666666666668,2.5,2.2222222222222223,3.333333333333333,4.272301859868032,0.0,0.0,0.0,2.5,0.0,10.0,3.125,4.529411764705882,24.6,8.444141689373296,6.21,8.80860585881331,19.169879494153413,5.0,3.0,4.0,7.29,6.614431862578497,5.767442997222223,5.23065420913889,6.370729604999999,6.666666666666667,5.8296833333333336,4.8804424872551735,7.508813712781315,7.576297124166667,0.7647058823529411,5.496036412010763,9.795069526621475,1.02465236689262,9.73361613556919,0.6659596610770302,9.849067350135272,0.754663249323633,0.0,7.344438253081485,9.322978892871369,1.015531660692951,7.720000000000001,11.4,3.4792,16.302,6.840726297623789,5.190717379166667,7.843792734107122,6.517255056636895,10.0,1.6572581231594086,0.7692307692307693,7.522543609431946,3.316344167274041,6.6685813803836815,8.0,8.426871712749698,10.0,8.808957237583233,1.1,3.9462280275,7.360477844166668,8.0,10.0,5.948762632453047,4.946651856666667,5.777777777777779,9.672984689758485,4.224,9.478229165207466,4.29,6.398273914901733,7.05199792831267
Georgia,Caucasus & Central Asia,2014,2014,6.494122273336527,5.952242489470623,9.213611524722324,2.705176354955207,10.0,10.0,0.0,5.0,10.0,0.0,9.758129796195306,1.0,5.8825,7.4175,8.294018542313614,8.753815033517968,9.7575,9.5525,9.4525,9.5875,3.333333333333333,6.460416666666667,8.5125,6.666666666666667,7.589583333333334,9.6675,8.628541666666667,8.1625,7.5,7.777777777777779,3.333333333333333,6.203703703703703,9.8,9.7775,7.8725,9.15,9.185,8.175300925925926,10.0,0,10.0,0,10.0,7.4125,6.2025,8.9375,9.926666666666668,8.926666666666666,8.281166666666667,5.339506172839506,6.666666666666667,6.666666666666667,7.390801234567901,10.0,10.0,10.0,7.5,5.0,10.0,8.125,7.176470588235294,15.6,6.930982749192611,11.76329331046312,8.810326499443905,19.16385725194633,10.0,10.0,10.0,7.5975,8.103055967374363,5.737338605284715,6.206317611482857,5.266392684030533,10.0,7.0252,7.375,9.948229638778852,7.279154264755858,1.0,7.354704100541602,8.408612528048053,7.95693735975973,8.24033796258143,4.399155093546424,9.386225840755335,3.06887079622332,10.0,9.008794082846205,9.793333333333331,0.31,9.7,1.5,8.278,4.305,9.25711111111111,7.413292528769842,8.080483011030614,7.746887769900228,10.0,10.0,6.153846153846154,9.513805153105109,8.555883768983753,8.889970662498772,10.0,8.853,10.0,9.617666666666668,6.666666666666667,7.38900189186508,7.836251976190477,8.0,1.0,6.691566979652251,6.202733572324117,8.0,9.90340309243467,7.61,9.999638041016064,5.942223818652693,7.942999754071256,8.084077800130057
Georgia,Caucasus & Central Asia,2008,2008,6.155822243805482,5.937139533386919,8.23860749275102,6.0591902249364935,10.0,0.0,621.0,0.0,5.207509738289247,11.0,0.0,47.0,3.295,8.139999999999999,3.8060728197556064,6.022340156253313,9.7575,9.145,9.12,9.340833333333334,6.666666666666667,8.00375,8.66,6.666666666666667,7.663333333333334,9.3325,8.497916666666667,8.125,7.5,8.88888888888889,6.666666666666667,7.685185185185186,9.235,9.7575,7.9,8.964166666666666,9.1575,8.482962962962963,0.0,3,10.0,0,5.0,7.085,5.305,6.2925,9.82,6.626666666666666,7.025833333333333,3.472222222222221,6.666666666666667,3.333333333333333,5.099611111111111,10.0,10.0,10.0,7.5,10.0,10.0,9.375,4.432352941176471,24.93,7.676262374367906,9.028117086069786,3.659543079378535,37.19159922217513,9.0,9.0,9.0,8.035,6.560631678984583,4.268072920965609,5.455403405333333,4.5214615828373015,10.0,7.088616666666667,7.374996359273581,9.943302287521746,6.44745610813492,0.8235294117647058,6.279700695782088,6.525792994161201,17.371035029193994,9.640082778857249,0.8997930528568784,8.004791984317212,9.976040078413943,10.0,8.542666939333916,9.793333333333331,0.31,9.72,1.4,7.12,7.2,8.877777777777778,7.413292528769842,8.514397641339999,7.96384508505492,10.0,7.492838501930237,8.461538461538462,8.296923098638176,8.083766687368959,8.731347387550414,10.0,4.631674050391781,9.0,7.877224683463926,10.0,7.38900189186508,7.836251976190477,8.0,3.0,7.642404817967201,6.394110776785715,6.784037558685446,9.865083881101992,7.47,9.282149528551807,5.661990656957437,7.576228733680399,7.698619411703842
